Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
3,32,50,32,relu,rmsprop,mse,"[146.84866, 115.14927, 156.13362, 340.85895, 397.29865, 1247.692, 5034.6143, 18483.168]",25.91610059481454
3,32,50,32,relu,rmsprop,huber_loss,"[119.70133, 117.765, 118.79657, 122.14643, 122.04344, 122.71433, 123.483215, 123.59559]",0.20413652316604583
3,32,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.11977, 77.12224, 77.12449, 77.127846, 77.127846, 77.127846, 77.127846, 77.127846]",0.4836588054637806
3,32,50,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[200.00075, 203.20929, 251.37692, 362.9593, 436.66016, 643.16626, 1050.9735, 1770.0038]",3.6688820917080207
3,32,50,32,tanh,adam,mse,"[196.63707, 197.12581, 128.14468, 189.06992, 136.81204, 119.93294, 140.12956, 152.95584]",0.21689619223240772
3,32,50,32,tanh,adam,huber_loss,"[196.57907, 189.48672, 43.46574, 73.61235, 72.64741, 65.64532, 75.66321, 77.95845]",0.4285408979543327
3,32,50,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[150.67401, 72.09821, 142.43434, 89.53231, 146.33241, 92.55354, 98.30537, 102.88467]",0.2972597423150124
3,32,50,32,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[199.13484, 205.0435, 233.4645, 242.16246, 242.35544, 242.84935, 242.95703, 242.95949]",0.6060567679506496
3,32,50,32,tanh,rmsprop,mse,"[131.97073, 98.63936, 112.24426, 167.38127, 82.77716, 162.05763, 221.69315, 98.3887]",0.36370228565382495
3,32,50,32,tanh,rmsprop,huber_loss,"[125.6833, 121.594864, 126.417534, 134.61667, 134.82202, 139.18652, 143.44202, 145.0546]",0.18494491148161193
3,32,50,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.98449, 77.00163, 77.01707, 77.03741, 77.03738, 77.03736, 77.037346, 77.037346]",0.48432223731835033
3,32,50,32,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[193.52658, 190.13316, 208.81035, 227.21732, 227.53838, 229.76059, 231.10085, 231.16083]",0.5423232453715597
3,50,30,16,relu,adam,mse,"[169.33813, 50.612125, -26.903833, 42.291077, 65.24175, 64.25914, 89.28374, 114.42919]",0.5182450391574724
3,50,30,16,relu,adam,huber_loss,"[150.94482, 134.4885, 198.42323, 472.06778, 642.7553, 1767.2384, 6114.2007, 16889.188]",25.955303628671793
3,50,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[81.55935, 78.04373, 84.709175, 93.84323, 91.51852, 98.00874, 85.319626, 88.30113]",0.40790316385856484
3,50,30,16,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[197.43855, 198.57776, 245.03864, 421.0466, 529.74524, 972.7315, 2298.06, 5140.1504]",8.887100411934762
3,50,30,16,relu,rmsprop,mse,"[123.00701, 121.42167, 123.0778, 128.22835, 128.42523, 129.89137, 131.67229, 132.1566]",0.18343624562765204
3,50,30,16,relu,rmsprop,huber_loss,"[113.7583, 113.73099, 113.73297, 113.74732, 113.74727, 113.74729, 113.74732, 113.74732]",0.23850534752731148
3,50,30,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.12299, 77.12225, 77.12125, 77.12011, 77.12011, 77.12011, 77.12011, 77.12011]",0.48369597522615
3,50,30,16,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[196.2346, 195.66162, 248.85309, 383.11935, 460.1133, 678.2222, 1098.4849, 1822.8225]",3.837199694319712
3,50,30,16,tanh,adam,mse,"[171.56784, 151.89412, 101.15265, 124.914925, 124.7698, 99.31923, 167.8969, 127.93833]",0.18987765991034355
3,50,30,16,tanh,adam,huber_loss,"[140.6126, 107.25492, 126.7348, 154.72482, 128.16696, 142.8678, 161.69232, 144.38174]",0.2321212905838161
3,50,30,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.26191, 77.54777, 79.20392, 80.901825, 80.6926, 80.49822, 80.39665, 80.423004]",0.4660742810685351
3,50,30,16,tanh,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[165.08238, 163.90097, 164.59811, 167.3885, 167.36238, 167.39265, 167.46405, 167.46356]",0.2622634421123774
3,50,30,16,tanh,rmsprop,mse,"[117.52873, 116.702934, 116.97559, 118.70082, 118.64849, 118.78498, 118.99869, 119.00455]",0.21629867924603619
3,50,30,16,tanh,rmsprop,huber_loss,"[113.612625, 113.591, 113.59906, 113.61659, 113.61656, 113.6166, 113.616646, 113.616646]",0.23939763255675595
3,50,30,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[76.977905, 76.97843, 76.97915, 76.97989, 76.97989, 76.97989, 76.97989, 76.97989]",0.4846412773791037
3,50,30,16,tanh,rmsprop,<__main__.QuantileLoss object at 0x7fc065822790>,"[163.98021, 163.75246, 164.73763, 167.73051, 167.74547, 167.82405, 167.94212, 167.94408]",0.26468129570806764
3,50,30,32,relu,adam,mse,"[195.20833, 127.92595, 157.68193, 1002.841, 1047.4314, 5903.0317, 35835.465, 85489.75]",131.6517737153688
3,50,30,32,relu,adam,huber_loss,"[199.88327, 138.97572, 568.7134, 1748.8611, 5826.4976, 39238.305, 193515.1, 1019809.75]",1323.3409332426472
3,50,30,32,relu,adam,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[114.60767, 76.38071, 86.402824, 99.31001, 91.92731, 105.63014, 75.513664, 94.95298]",0.3795699255471875
3,50,30,32,relu,adam,<__main__.QuantileLoss object at 0x7fc065822790>,"[195.52692, 189.99466, 232.59639, 394.6596, 458.74005, 768.37854, 1593.7467, 2869.7266]",5.496437344234094
3,50,30,32,relu,rmsprop,mse,"[123.36349, 122.76277, 125.71912, 131.65192, 132.64264, 135.24301, 138.12605, 139.48036]",0.18106821455746194
3,50,30,32,relu,rmsprop,huber_loss,"[113.75277, 113.73134, 113.73779, 113.7522, 113.75216, 113.7522, 113.75224, 113.75223]",0.23848183601980946
3,50,30,32,relu,rmsprop,<__main__.QuantileLoss object at 0x7fc1158618e0>,"[77.00063, 77.00036, 77.00043, 77.000694, 77.000694, 77.000694, 77.000694, 77.000694]",0.48449979448766123
