Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
5,50,50,16,tanh,adam,huber_loss,"[115.6552, 115.27214, 115.328865, 115.669266, 115.65753, 115.66403, 115.67592, 115.67562]",0.2273099513257859
5,50,50,16,tanh,rmsprop,mse,"[113.72901, 113.687546, 113.692314, 113.72201, 113.72188, 113.72195, 113.72205, 113.72205]",0.23870026037806114
5,50,50,16,tanh,rmsprop,huber_loss,"[113.61488, 113.608894, 113.60952, 113.61378, 113.61378, 113.61378, 113.61378, 113.61378]",0.23938955025213107
5,50,50,32,relu,adam,mse,"[118.57503, 118.189316, 118.2924, 118.75433, 118.74315, 118.753555, 118.77053, 118.770325]",0.21364374840560196
5,50,50,32,relu,adam,huber_loss,"[121.86066, 121.37871, 121.565025, 122.31366, 122.29728, 122.31969, 122.3552, 122.35498]",0.19815231917591775
5,50,50,32,relu,rmsprop,mse,"[111.838615, 111.819336, 111.820114, 111.83071, 111.83067, 111.83068, 111.830696, 111.830696]",0.25133207389617923
5,50,50,32,relu,rmsprop,huber_loss,"[109.50789, 109.49719, 109.496704, 109.500114, 109.5001, 109.5001, 109.50011, 109.50011]",0.2669239618417028
5,50,50,32,tanh,adam,mse,"[116.979774, 116.54101, 116.6242, 117.071236, 117.05611, 117.066246, 117.08431, 117.08391]",0.22118104032018104
5,50,50,32,tanh,adam,huber_loss,"[115.424644, 115.14175, 115.18011, 115.42576, 115.41931, 115.422676, 115.42901, 115.42888]",0.22825205757353667
5,50,50,32,tanh,rmsprop,mse,"[113.68642, 113.658226, 113.66144, 113.681564, 113.6815, 113.681526, 113.68158, 113.68158]",0.23895772096435883
5,50,50,32,tanh,rmsprop,huber_loss,"[113.59812, 113.59688, 113.59695, 113.59779, 113.5978, 113.5978, 113.59779, 113.59779]",0.23949181496669877
5,64,30,16,relu,adam,mse,"[96.40679, 96.235504, 96.15807, 96.028595, 96.02573, 96.024, 96.02223, 96.02219]",0.35669145499821264
5,64,30,16,relu,adam,huber_loss,"[89.13315, 89.06031, 89.01293, 88.92072, 88.92018, 88.919716, 88.91921, 88.919205]",0.40442480681817794
5,64,30,16,relu,rmsprop,mse,"[81.17897, 81.177734, 81.17642, 81.173645, 81.173645, 81.173645, 81.173645, 81.173645]",0.4565547691980527
5,64,30,16,relu,rmsprop,huber_loss,"[91.43391, 91.42989, 91.427284, 91.42206, 91.42205, 91.42205, 91.42205, 91.42205]",0.38793633849586046
5,64,30,16,tanh,adam,mse,"[109.333176, 109.02401, 109.00268, 109.09355, 109.08513, 109.085464, 109.087845, 109.08763]",0.26965362624521383
5,64,30,16,tanh,adam,huber_loss,"[109.01713, 108.71264, 108.68897, 108.769745, 108.76157, 108.76175, 108.76381, 108.7636]",0.2718016915865671
